 arcs[43].from = 31, arcs[43].to = 43, arcs[43].capacity = 20, arcs[43].cost = 0, arcs[43].flow = 0, arcs[43].mate = 195, 
 arcs[44].from = 32, arcs[44].to = 48, arcs[44].capacity = 5, arcs[44].cost = 0, arcs[44].flow = 0, arcs[44].mate = 196, 
 arcs[45].from = 32, arcs[45].to = 39, arcs[45].capacity = 15, arcs[45].cost = 0, arcs[45].flow = 0, arcs[45].mate = 197, 
 arcs[46].from = 32, arcs[46].to = 50, arcs[46].capacity = 5, arcs[46].cost = 0, arcs[46].flow = 0, arcs[46].mate = 198, 
 arcs[47].from = 33, arcs[47].to = 55, arcs[47].capacity = 8, arcs[47].cost = 0, arcs[47].flow = 0, arcs[47].mate = 199, 
 arcs[48].from = 34, arcs[48].to = 40, arcs[48].capacity = 12, arcs[48].cost = 0, arcs[48].flow = 0, arcs[48].mate = 200, 
 arcs[49].from = 36, arcs[49].to = 57, arcs[49].capacity = 10, arcs[49].cost = 0, arcs[49].flow = 0, arcs[49].mate = 201, 
 arcs[50].from = 36, arcs[50].to = 48, arcs[50].capacity = 20, arcs[50].cost = 0, arcs[50].flow = 0, arcs[50].mate = 202, 
 arcs[51].from = 37, arcs[51].to = 53, arcs[51].capacity = 5, arcs[51].cost = 0, arcs[51].flow = 0, arcs[51].mate = 203, 
 arcs[52].from = 37, arcs[52].to = 44, arcs[52].capacity = 15, arcs[52].cost = 0, arcs[52].flow = 0, arcs[52].mate = 204, 
 arcs[53].from = 37, arcs[53].to = 55, arcs[53].capacity = 5, arcs[53].cost = 0, arcs[53].flow = 0, arcs[53].mate = 205, 
 arcs[54].from = 38, arcs[54].to = 60, arcs[54].capacity = 8, arcs[54].cost = 0, arcs[54].flow = 0, arcs[54].mate = 206, 
 arcs[55].from = 39, arcs[55].to = 45, arcs[55].capacity = 12, arcs[55].cost = 0, arcs[55].flow = 0, arcs[55].mate = 207, 
 arcs[56].from = 41, arcs[56].to = 62, arcs[56].capacity = 10, arcs[56].cost = 0, arcs[56].flow = 0, arcs[56].mate = 208, 
